Index,Item,Price
71,Raspberry Pi 4 Case with Fan (Black),$6.25
72,Adapter 12V 2A (UK Plug),$3.23
73,OLED I2C 0.96Inch 128x64 Blue Display,$6.25
74,9V Battery Connector to DC Jack Arduino,$0.23
75,Official RPi 15W (5V/3A) PSU USB C EU Plug-Black,$8.75
76,Official RPi micro USB Adapter,$1.50
77,LED 5mm Yellow,$0.03
78,StripBoard (Small) 6x14cm,$0.40
79,Micro:bit Junior Kit,$19.98 $17.25
80,Raspberry Pi 7 Inch Touch Screen Display,$73.00
81,GP 9V Supercell Battery,$0.63
82,Raspberry Pi 4 Model B - 8GB (Latest),$87.25
83,30Amp 7V-35V SmartDrive DC Motor Driver (2 Channels),$65.00
84,DC Jack(Female) to Screw Terminal Adapter,$0.50
85,Transistor 2N2222,$0.10
86,"5mm/3mm LED Kit Box, 5 Colours (125pcs)",$2.50
87,GY-521 MPU6050 6DOF Accelerometer + Gyro,$2.38
88,Raspberry Pi Zero Converter Kit,$3.75
89,Raspberry Pi Universal Power Supply 5.1V 2.5A micro B,$10.50
90,Voltage Regulator +5V,$0.25
91,32GB Micro SD Card with NOOBS for RPI,$16.25 $13.75
92,Breadboard Jumper Wire Kit (140pcs),$2.00
93,LCD (16x2) Yellow Backlight,$2.00
94,Micro-HDMI to Standard HDMI Cable,$3.75
95,Bracket for Ultrasonic HC-SR04,$0.38
96,Cytron UNO - Arduino UNO Compatible,$14.70
97,Buzzer-PCB Mount,$0.18
98,LCD (2x16) Blue Backlight,$2.00
99,3V-5V 0.2A Cooling Fan for RPi with Screws,$2.00
100,Donut Board (Small) 6x15cm,$0.40
101,13Amp 6V-30V DC Motor Driver,$9.90
102,Official Raspberry Pi Zero Case,$7.50
103,Arduino Mega 2560 R3-Main Board,$44.75
104,LCD Keypad Shield,$3.00
105,Temperature Sensor - Waterproof,$2.00
106,Bluetooth Serial Transceiver HC06,$3.98
107,9V Battery Snap,$0.10
108,IR Line Tracking Module,$1.25
109,LiPo Rechargeable Battery 3.7V 1300mAH,$4.75
110,Detachable Soldering Iron stand w/o Sponge,$2.00
111,micro:bit Board,$18.00
112,Resistor 0.25W 5% (100R),$0.01
113,RPi 4 Aluminum Heatsink Case with Dual Fan,$13.73
114,Adapter 12V 1A (UK Plug),$2.13
115,DHT22 Sensor Module Breakout,$5.50
116,DC Geared Motor Bracket (SPG30/SPG50),$3.50
117,Buzzer 6-12V c/w Wire,$0.75
118,UC00A (FTDI) USB to UART Converter,$10.25
119,DHT22 Temperature and Humidity Sensor,$5.00
120,DC Plug(Male) to Screw Terminal Adapter,$0.50
